 序号,名称,纬度,经度
0,01,30.140079920000002,118.767871860000000
1,02,30.135180850000001,118.768129349999995
2,03,30.133547780000001,118.774094579999996
3,04,30.141044860000001,118.774909969999996
4,05,30.143902499999999,118.785810470000001
5,06,30.132285840000002,118.786325450000007
6,07,30.141378870000000,118.796324729999995
7,08,30.133770470000002,118.796453479999997
8,09,30.125827420000000,118.796067239999999
9,10,30.119814030000001,118.796453479999997
10,11,30.143531379999999,118.804693220000004
11,12,30.133844700000001,118.804693220000004
12,13,30.128017390000000,118.805379869999996
13,14,30.120148109999999,118.802933690000003
14,15,30.113132050000001,118.806409840000001
15,16,30.111944099999999,118.813705440000007
16,17,30.119220089999999,118.815679549999999
17,18,30.124342660000000,118.814735409999997
18,19,30.134512780000001,118.813877110000007
19,20,30.142158230000000,118.813705440000007
20,21,30.142306680000001,118.821516040000006
21,22,30.131543510000000,118.824090960000007
22,23,30.124936569999999,118.824434280000006
23,24,30.117512510000001,118.821859360000005
24,25,30.111053120000001,118.822031019999997
25,26,30.112535120000000,118.833106450000002
26,27,30.119591300000000,118.831815719999994
27,28,30.129168029999999,118.830184939999995
28,29,30.135626230000000,118.834133150000000
29,30,30.142455129999998,118.832845689999999
30,31,30.139560329999998,118.839883799999996
31,32,30.133028159999999,118.839368820000004
32,33,30.123748750000001,118.837137220000002
33,34,30.120407960000001,118.840827939999997
34,35,30.120333720000001,118.849496840000000
35,36,30.127386380000001,118.847694399999995
36,37,30.134883930000001,118.849925990000003
37,38,30.141044860000001,118.849668500000007
38,39,30.141193309999998,118.855934140000002
39,40,30.125307750000001,118.859195709999995
40,41,30.133399310000001,118.858251569999993
41,42,30.148986680000000,118.831129070000003
42,43,30.118032209999999,118.858423230000000
43,44,30.133028159999999,118.864130970000005
44,45,30.124194190000001,118.864302640000005
45,46,30.118514789999999,118.866362570000007
46,47,30.140673730000000,118.864088060000000
47,48,30.132953919999999,118.874473570000006
48,49,30.125604700000000,118.873958590000001
49,50,30.140970630000002,118.884258270000004
50,声纹01,30.124268420000000,118.825635910000003
51,声纹03,30.120630680000001,118.838424680000003
52,声纹02,30.131320809999998,118.839540479999997
53,监控02,30.124286980000001,118.841192719999995
54,监控03,30.120556440000001,118.843595980000003
55,监控04,30.115823460000001,118.845527169999997
56,监控01,30.127906029999998,118.845076559999995
